,max(waic),waic1/waic2,M,Aa,Ad,AaAa,AaAd,AdAd,Mea,Med,Ca,CaAa,CaAd,,
per.inf,0.052,1.01,21.46±12.95,-1.69±3.1,7.91±18.55,14.06±14.98,49.19±15.79,6.43±11.48,0.62±1.52,0.96±2.99,0.12±0.6,-0.28±1.85,1.59±2.96,,
,,,-13.41,-13.65,56.29,52.06,42.42,-,8.89,11.74,-,-,-,,
osa.col,0.432,3.66,3.66±19.67,20.25±7.03,51.85±50.32,16.61±17.61,-44.7±12.29,-29.04±30.59,-11.96±3.6,-0.24±0.58,1.88±3.24,-0.12±0.39,-3.19±5.87,,
,,,-,22.55,63.23,19.41,-47.89,-37.25,-12.78,-,-,-,-,,
cro.inf,0.029,1.03,31.88±14.38,-2.28±3.71,13.51±22.08,8.09±13.92,-0.51±2.72,0.91±6.27,0.59±1.76,2±3.71,-0.07±0.93,-0.56±1.57,2.41±4.2,,
,,,-,-,54.3,39.62,-,-,-,10.74,-,-,-,,
per.sq,0.32,3.21,-41.88±29.58,-0.52±1.65,97.15±46.5,80.93±30.9,7.05±12.64,-4.73±16.79,11.55±4.86,16.45±9.6,-0.09±0.35,-1.79±3.97,-0.13±0.59,,
,,,-69.54,-18.07,151.43,114.04,45.78,-33.29,14.11,23.02,-1.54,-,-,,
sin.cro,0.034,1.17,27.91±5.85,-4.38±6.55,4.97±8.38,-1.93±4.13,4.44±8.51,4.52±7.33,1.03±2.16,1.36±2.51,2.6±3.7,-1.09±2.5,2.22±5.3,,
,,,25.51,-14.01,-,-,17.59,14.56,-,5.77,6.4,-,-,,
ba.sq,0.378,1.8,97.79±15.67,-0.07±0.25,-181.63±35.37,-38.94±14.98,-0.24±0.73,158.12±23.43,0.04±0.21,-16.67±3.71,0.01±0.42,0.02±0.24,-1.54±2.46,,
,,,98.57,-0.66,-183.39,-39.44,-3.74,159.15,2.34,-16.32,-2.06,-,-,,
bh.sq,0.23,1.29,63.62±8.85,4.72±6.37,-123.45±23.29,-4.19±7.96,61.34±13.13,131.35±18.55,-0.83±1.62,0.06±0.24,-4.4±4.43,-0.01±0.2,-2.35±7.85,,
,,,78.56,8.31,-154.18,-19.16,57.24,147.13,-3.56,-,-5.39,-,-,,
da.sq,0.193,1.01,73.56±5.46,34.75±4.12,-148.68±17.35,-0.15±0.67,-0.13±0.59,142.26±15.42,-17.62±3.99,-0.25±0.62,-0.42±0.81,2.52±3.53,-2.26±3.25,,
,,,76.81,-,-147.04,-,65.02,136.77,-15.72,-3.75,-3.02,-,-,,
ban.inf,0.089,1.21,40.63±4.26,-7.77±6.07,-0.1±2.94,-16.77±9.06,-10.22±14.12,-1.13±2.56,2.1±3.38,1.2±2.26,1.2±2.01,14.39±6.23,2.18±3.69,,
,,,39.07,-9.75,-,-,-24.41,-,-,-,5.66,-,-,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
