"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"31",10,9.99999999999999,9.48889614431873,9.46952545808544,7.80899644162666,10,10,10,10,10
"32",9.99999999999999,10,8.18197498608534,9.79095179786921,10,10,10,9.99999999999999,10,10
"33",10,10,9.85420483546241,9.94885881199695,5.24227734393655,9.99999999999999,10,10,10,10
"34",10,10,1.85924367161599,7.71861670793442,9.15958493074572,10,10,10,10,10
"35",9.99999999999999,9.42705350851135,0.386108465986802,8.76842023409046,3.27746823396408,10,10,10,10,10
"36",9.99999999999999,9.99999999999998,10,8.67015514073617,10,10,10,10,10,10
"37",10,10,9.53232706960082,9.62153835055214,10,9.99999999999999,9.99999999999999,10,10,10
"38",9.99999999999999,9.99999999999999,0,9.9117999391038,9.25755788532375,10,10,9.99999999999999,10,10
"39",9.99999999999999,9.52252657801031,9.37396677698312,8.50269033679709,0,10,10,10,10,9.99999999999999
"40",9.99999999999999,9.99999999999999,9.62546642059953,10,4.19729533369627,10,10,9.99999999999998,10,10
"41",10,8.83974768257779,0.597274154695075,9.99999999999999,3.61204602058464,10,9.99999999999999,9.99999999999999,10,10
"42",10,10,9.37963374309698,8.7730352022661,10,10,10,10,10,10
"43",10,10,0.758581800212436,8.57747193369348,3.61204602058464,9.99999999999998,10,10,9.99999999999999,9.99999999999999
"44",10,10,9.99999999999999,9.99999999999999,9.99999999999999,10,9.99999999999999,10,10,10
"45",10,9.99999999999999,10,9.99999999999999,2.57326078589179,10,9.99999999999999,10,10,10
"46",10,10,10,8.39566399185459,8.63829241649792,9.99999999999999,10,10,10,10
"47",10,9.99999999999999,9.25393244361361,8.84594877205595,0.364766700047997,9.99999999999998,9.99999999999999,10,10,10
"48",10,9.99999999999999,0.597274154695075,8.96180577958718,9.14071093526035,9.83986890842854,10,10,9.99999999999999,10
"49",9.99999999999999,9.99999999999999,9.05232343764863,10,0,10,9.99999999999999,9.99999999999999,10,9.99999999999999
"50",10,9.99999999999999,10,8.08574582425082,10,9.99999999999998,10,10,10,10
"51",9.99999999999999,10,0.758581800212435,9.26960341387161,7.80899644162666,10,10,10,10,10
"52",10,9.99999999999999,2.95877259638138,4.20776036807292,0,9.99999999999999,10,10,10,10
"53",10,10,9.78177910960246,9.99999999999999,8.35417301933564,9.99999999999999,9.99999999999999,10,10,9.99999999999999
"54",10,10,10,9.06122394630363,4.75811857345721,10,10,10,10,10
"55",10,10,0.597274154695075,8.37281141075921,10,10,10,10,10,10
"56",10,9.99999999999999,0.597274154695075,9.36217169194206,5.23633310057878,9.99999999999999,9.99999999999999,10,10,10
"57",10,9.99999999999999,10,10,9.45053185191615,9.99999999999999,10,10,10,10
"58",10,9.99999999999999,10,9.63104288241918,10,10,10,9.99999999999999,10,10
"59",10,9.99999999999999,9.50877773487593,8.76842023409045,10,10,9.99999999999998,10,10,10
"60",10,9.49824762290085,6.73509958212452,9.38170377554822,0,10,9.99999999999999,10,10,10
"61",10,1.45436977704043,10,9.82350818844064,10,10,10,9.99999999999999,10,10
"62",10,9.75750694502233,6.48281042368254,8.6587122183526,0,9.99999999999999,10,10,10,10
"63",10,9.99999999999999,9.99999999999999,9.77200958787372,0.364766700047997,10,9.99999999999999,10,10,10
"64",10,9.99999999999999,4.96979505438508,8.69602880742661,0,9.99999999999999,10,9.99999999999999,9.99999999999999,10
"65",10,10,0.758581800212436,8.74310268657444,10,10,10,9.99999999999999,10,10
"66",10,9.99999999999999,8.2904721980221,4.20776036807292,0,10,10,10,10,10
"67",10,10,0.597274154695075,10,0,10,10,9.99999999999999,9.99999999999999,10
"68",10,9.99999999999999,0.758581800212435,10,0,9.84703058705146,10,10,9.99999999999999,10
"69",10,9.99999999999999,8.48230951896414,8.65871221835261,2.66150277104273,10,10,10,9.99999999999999,10
"70",9.99999999999999,10,0,8.96057976460461,0,9.99999999999999,10,10,10,10
"71",10,9.99999999999999,0.597274154695076,10,2.66150277104273,10,10,10,10,10
"72",9.99999999999999,9.93979268695506,0.386108465986801,9.92426075763709,10,10,9.99999999999999,10,10,10
"73",10,9.99999999999999,6.66428153253344,9.46952545808544,9.36971058461541,9.99999999999999,10,10,10,10
"74",10,10,5.22086713288859,9.9117999391038,3.37129299869795,10,9.99999999999999,10,10,10
"75",10,9.50407188146858,0.43632421571513,8.96180577958717,2.66150277104273,10,10,9.99999999999999,10,9.99999999999999
"76",9.99999999999999,9.99999999999999,10,10,0,9.99999999999999,10,10,9.99999999999999,9.99999999999999
"77",10,10,9.72339853121834,9.96002321882382,10,9.99999999999999,10,10,9.99999999999999,10
"78",9.99999999999999,9.99999999999999,9.40731138094979,9.57812178702401,1.69037652883441,10,9.99999999999999,9.99999999999998,10,9.99999999999999
"79",10,9.99999999999999,8.61985785393469,8.3714957320651,9.43572142714556,9.99999999999999,10,10,10,9.99999999999999
"80",10,9.99999999999999,0.386108465986802,9.81414694921798,5.03894274480361,10,10,10,9.99999999999999,10
"81",10,9.99999999999999,9.78809059979177,9.50190013128763,7.80899644162666,9.99999999999999,10,10,10,9.99999999999999
"82",10,9.99999999999999,3.08320892491706,9.2771532597886,10,9.99999999999999,9.99999999999999,10,10,10
"83",10,10,0,9.84431678937549,8.63829241649792,9.99999999999999,10,10,10,10
"84",9.99999999999999,10,3.53298272305993,9.9117999391038,2.57326078589179,10,10,10,9.99999999999999,9.99999999999999
"85",10,9.99999999999999,9.99999999999999,9.06122394630362,4.24684494874846,10,10,10,10,10
"86",10,10,9.53232706960082,8.57747193369348,10,9.99999999999999,10,10,10,10
"87",9.99999999999999,10,10,9.99999999999999,10,9.99999999999998,9.99999999999999,9.99999999999999,10,10
"88",9.99999999999999,9.99999999999999,10,8.57747193369347,9.36567814697099,10,10,10,10,10
"89",10,10,0,8.96180577958717,0,10,10,9.99999999999999,9.99999999999999,10
"90",9.99999999999999,10,7.00734670104919,9.92298961299794,10,10,9.99999999999999,10,10,10
"91",10,10,6.53547419923551,8.92621085448736,10,10,10,10,10,10
"92",10,10,0,10,10,10,10,10,10,10
"93",10,9.62110383876869,10,8.64117015162429,10,9.99999999999999,10,10,10,10
"94",10,9.99999999999999,6.76719485091342,9.99999999999999,9.18776483472534,10,10,10,9.99999999999999,10
"95",9.99999999999999,9.99999999999999,0.597274154695075,10,10,10,10,10,10,10
"96",10,10,8.2904721980221,8.65999516898333,3.61204602058464,9.99999999999999,9.99999999999999,10,10,10
"97",10,10,0,9.99999999999999,9.14071093526035,10,10,10,10,10
"98",10,9.99999999999999,9.88562504527574,8.14219398975126,0.585208112865124,10,10,10,10,9.99999999999999
"99",10,10,8.7681455862816,7.75949193418874,8.48462805491554,9.99999999999999,10,10,10,10
"100",10,10,9.67635024650154,7.22340802138298,10,9.99999999999999,10,10,9.99999999999999,10
